nome              ;unidades          ;km_ida            ;km_volta          ;nro_linha         ;sigla_emit        ;sigla_dest        ;carrega_seg       ;carrega_ter       ;carrega_qua       ;carrega_qui       ;carrega_sex       ;carrega_sab       ;carrega_dom       ;vlr_min_frete     ;multi_carr_diario
GOIÂNIA X RIBEIRÃO PRETO - ITINERANTE;ITB,UDI;619;0;64;GYN;RAO;t;t;t;t;t;t;t;13750;f
SÃO PAULO X ALTA FLORESTA - DIRETO;;2286;0;43;SAO;ALT;f;f;f;f;f;f;f;52500;f
RONDONOPOLIS X PONTES LARCERDA - ITINERANTE;CBA,CAC;662;0;81;RON;PLC;t;t;t;t;t;t;t;20000;f
RONDONOPOLIS X SÃO PAULO - ITINERANTE;CGD;1477;0;94;RON;SAO;t;t;t;t;t;t;t;10000;f
RONDONOPOLIS X SÃO PAULO - DIRETO;;1319;0;95;RON;SAO;t;t;t;t;t;t;t;22500;f
SUMARÉ X SINOP - DIRETO;;1877;0;96;CAM;SIN;t;t;t;t;t;t;t;45000;f
SUMARÉ X SINOP - ITINERANTE;RON;1877;0;97;CAM;SIN;t;t;t;t;t;t;t;45000;f
SUMARÉ X BRASÍLIA - DIRETO;;899;0;108;CAM;BSB;t;t;t;t;t;t;t;27500;f
SUMARÉ X CUIABÁ - DIRETO;;1434;0;98;CAM;CBA;t;t;t;t;t;t;t;35000;f
SUMARÉ X CUIABÁ - ITINERANTE;RON;1434;0;99;CAM;CBA;t;t;t;t;t;t;t;35000;f
SUMARÉ X RONDONÓPOLIS - DIRETO;;1221;0;100;CAM;RON;t;t;t;t;t;t;t;32500;f
SÃO PAULO X CNP -  ITINERANTE;TGA,RON;1990;0;9;SAO;CNP;f;f;t;f;f;t;f;42500;f
SÃO PAULO X NOVA MUTUM - DIRETO;;1771;0;42;SAO;NVM;f;f;f;f;f;f;f;40000;f
SUMARÉ X RONDONÓPOLIS - ITINERANTE;CGD;1405;0;101;CAM;RON;t;t;t;t;t;t;t;32500;f
SÃO PAULO X BARRA DO GARÇAS;;1254;0;44;SAO;BDG;f;f;f;f;f;f;f;27500;f
