0;ACEVILLE TRANSPORTES LTDA;DEMONSTRATIVO DE FRETES DE COLETA/ENTREGA REALIZADA - RESUMO;PERIODO: 18/08/26 A 28/08/26;;;;;;;;;;;;;;;;;;;;;;;
1;UNIDADE;TIPO;PLACA;DIARIAS QTD;COLETA QTD;COLETA CLIENTE;ENTREGA QTD;ENTREGA CLIENTE;PESO KG;VOLUME QTD;VLR MERCAD;FRETE R$;BASE CALC R$;KM RODADO;REMU/DIA;REMU/KM;REMU/EVE;REMU/EVE_P;REMU/KG;REMU/FRT;REMU/1RO;REMU/2RO;REMU/OCORR;REMU/AJU;REMUNVEIC R$;REMUNVEIC % FRETE
2;JVE;FROTA;QNG2A36;3;1;1;13;13;         583,06;79;       44049,55;        1569,99;        1569,99;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RAG4046;8;15;13;58;55;       24620,34;210;      616195,11;       30158,43;       30158,43;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RDS7H48;8;101;42;158;139;       31023,39;1393;     1006994,41;       45668,95;       45668,95;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RDU5H28;3;163;9;0;0;       29778,16;6684;     1060577,59;       23140,36;       23140,36;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RDW9G69;8;21;16;139;126;       28067,00;780;      986267,85;       30670,23;       30670,23;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RKW3C77;8;13;13;114;108;       16229,42;1076;      576060,40;       21959,83;       21959,83;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RLB6I37;8;31;20;139;128;       23451,04;1073;      590285,64;       28917,11;       28917,11;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RLH7J98;8;40;30;154;134;       37696,64;1029;      976889,91;       47320,89;       47320,89;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RXK6G14;8;26;15;200;185;       20267,74;1495;      759540,78;       31615,32;       31615,32;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RXW1H93;4;10;6;60;54;       10000,17;490;      333923,31;       13278,05;       13278,05;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RXY5F66;6;384;26;3;2;       38083,32;2801;     1385133,65;       40570,57;       40570,57;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;RYM1G24;1;1;1;0;0;        5161,90;18;      222805,38;        5350,08;        5350,08;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;SXI7A10;4;156;3;24;11;       11944,99;751;      641161,94;       18365,61;       18365,61;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;SXI7F20;8;114;80;143;117;       57658,78;1638;     2310053,59;       72277,51;       72277,51;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;SXO2B31;1;1;1;0;0;       26087,00;34;      556408,34;        8000,00;        8000,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;TPI6C18;8;97;35;78;53;       38957,38;3049;      927601,17;       50886,08;       50886,08;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;TPX7E82;8;288;26;10;10;       61647,19;6281;     2080123,47;       60119,74;       60119,74;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
2;JVE;FROTA;TQE4D24;7;22;11;123;117;       25440,87;1175;      649475,64;       28302,36;       28302,36;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;           0,00;
9;;;;;;;;;;;;;;;;;;;;;;;;;;
