DESTINO;CTRC/GAI/PAL;T;AUTORIZACAO;PREV DE ENTREGA;NFISCAL;PEDIDO;SUBC;REMETENTE;PAGADOR;ABC;DESTINATARIO;CIDADE;UF;SET;MERCADORIA;FRETE;KgREA;M3;PESO CALCULO;SSWBAR;QVOL;COD ULT OCOR;DESC ULT OCOR;DATA ULT OCOR;PREVCHEGADA;MANIFESTO/END;CHAVE DACTE;COMISSAO RECEPCAO;TROCA GELO
GI5;BIR097498-6; N;11/06/2026;25/06/2026;  2003700;            ;     ;COLOR VISAO DO BRASIL IND ACRI;COLOR VISAO DO BRASIL IND ACRI;C.;GLAUCIA GOMES DE AZEVEDO 01767;GOIANESIA;GO;GYN;        435,47;     122,39;   17,720;   0,1140;   28,500;      0;      4;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020829321006247189 ;         44,45;
GI5;BIR098926-6; N;12/06/2026;26/06/2026;    15435;            ;     ;PECUARISTA D OESTE DE ARACATUB;PECUARISTA D OESTE DE ARACATUB;B2;COOP AGROINDL PROD RURAIS SUDO;MONTES CLAROS DE GOIAS;GO;IVC;      2.678,40;     151,90;   26,700;   0,0800;   26,700;      0;      1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020842161006269988 ;         44,45;
GI5;BIR098930-4; N;12/06/2026;26/06/2026;    15438;            ;     ;PECUARISTA D OESTE DE ARACATUB;PECUARISTA D OESTE DE ARACATUB;B2;COOPERATIVA AGROIND DOS PRODS;IPORA;GO;RIT;      5.356,80;     600,52;   52,400;   0,1800;   54,000;      0;      2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020842201006270024 ;         58,07;
GI5;CAM411473-6; N;15/06/2026;25/06/2026;     2579;            ;     ;CENTRALVET COMERCIAL DISTRIBUI;CENTRALVET COMERCIAL DISTRIBUI;C3;3163-ESPACO RURAL COMERCIO E R;SAO MIGUEL DO ARAGUAIA;GO;DEL;      8.323,20;     929,28;  769,200;   2,4720;  769,200;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497241006290856 ;        338,45;
GRP;CAM411415-9; N;15/06/2026;30/06/2026;    39553;0682739     ;     ;HIDROGOOD HORTICULTURA MODERNA;MARIA JOSE DOS SANTOS;C3;MARIA JOSE DOS SANTOS;ALMAS;TO;PMW;      2.426,00;     342,89;   21,000;   0,0540;   21,000;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496921006286527 ;         96,01;
GYN;BIR098806-5; N;12/06/2026;22/06/2026;    14417;            ;     ;GRUGUI IND E COM DE CALCADOS L;GRUGUI IND E COM DE CALCADOS L;C.;65.311.387 ALINE BRUNO DE ALME;GOIANIA;GO;4  ;      1.506,95;     128,94;   24,120;   0,2500;   24,120;      0;      5;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020841551006268542 ;          0,00;
GYN;UDI031643-1; N;13/06/2026;18/06/2026;  3526147;0003714546  ;     ;GRUPO MULTI S A;GRUPO MULTI S A;A1;G S COMERCIO DE PRODUTOS ALIME;GOIANIA;GO;7  ;     54.350,00;   3.066,04; 1402,600;  10,5069; 2626,725;      0;    180;83;CHEGADA NA UNIDADE INTERMEDIARIA ;13/06/26;;UDI002398-1;31260607655407001097570100000534491006278444 ;          0,00;
GYN;UDI031670-9; N;13/06/2026;18/06/2026;  3539084;0003728859  ;     ;GRUPO MULTI S A;GRUPO MULTI S A;A1;CENTRO OESTE COMERCIAL DE ALIM;GOIANIA;GO;5  ;      3.968,60;     522,19;  168,405;   0,9337;  233,425;      0;      9;83;CHEGADA NA UNIDADE INTERMEDIARIA ;13/06/26;;UDI002398-1;31260607655407001097570100000534401006278350 ;          0,00;
GYN;CAM411279-2; N;13/06/2026;18/06/2026;   804100*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COMPANHIA BRASILEIRA DE DISTRI;GOIANIA;GO;3  ;     34.012,67;   1.115,33;  482,815;   3,4969; 1049,070;      0;      7;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495571006277647 ;          0,00;
GYN;CAM411280-6; N;13/06/2026;18/06/2026;   803771*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;AGUILERA AUTOPECAS DE GOIAS LT;GOIANIA;GO;3  ;     49.011,24;   1.910,98;  655,420;   6,0716; 1821,480;      0;     12;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495591006277668 ;          0,00;
GYN;CAM411281-4; N;13/06/2026;18/06/2026;   803938*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;AUTO NORTE DISTRIBUIDORA DE PE;GOIANIA;GO;6  ;      2.985,49;     187,83;   55,172;   0,5766;  172,980;      0;      3;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495581006277652 ;          0,00;
GYN;CAM411282-2; N;13/06/2026;18/06/2026;   804300;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;BILHAR E CIA LTDA;GOIANIA;GO;6  ;      1.674,90;     106,31;   48,600;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495611006277682 ;          0,00;
GYN;CAM411283-1; N;13/06/2026;18/06/2026;   804192;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COMDIP COMERCIAL DISTRIBUIDORA;GOIANIA;GO;6  ;      2.737,33;     131,94;   48,733;   0,3844;  115,320;      0;      2;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495601006277677 ;          0,00;
GYN;CAM411284-9; N;13/06/2026;18/06/2026;   803872*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;REDE ANCORA GO, IMPORTADORA, E;GOIANIA;GO;6  ;     14.233,25;   1.000,70;  219,647;   3,1900;  957,000;      0;     11;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495631006277709 ;          0,00;
GYN;CAM411285-7; N;13/06/2026;18/06/2026;   803858*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;PPL DISTRIBUIDORA DE PCS LTDA;GOIANIA;GO;1  ;     24.003,82;     516,00;  118,534;   1,4741;  442,230;      0;      5;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495621006277698 ;          0,00;
GYN;CAM411286-5; N;13/06/2026;18/06/2026;   804231;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;JS DISTRIBUIDORA DE PECAS S/A;GOIANIA;GO;6  ;      1.448,50;     105,75;   14,020;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495651006277720 ;          0,00;
GYN;CAM411287-3; N;13/06/2026;18/06/2026;   804238*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COMANDO AUTO PECAS LTDA;GOIANIA;GO;6  ;      4.460,66;     191,47;   19,020;   0,5766;  172,980;      0;      3;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495641006277714 ;          0,00;
GYN;CAM411288-1; N;13/06/2026;18/06/2026;   804027*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;DINAMAR - PECAS E SERVICOS MAR;GOIANIA;GO;1  ;      3.464,09;     189,01;   16,990;   0,5766;  172,980;      0;      3;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495681006277756 ;          0,00;
GYN;CAM411289-0; N;13/06/2026;18/06/2026;   804291;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COBRA ROLAMENTOS E AUTOPECAS L;GOIANIA;GO;1  ;      1.704,27;     236,11;   74,840;   0,7301;  219,030;      0;      1;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495661006277735 ;          0,00;
GYN;CAM411290-3; N;13/06/2026;18/06/2026;   804233;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;POLIPECAS DISTRIB AUTOMOTIVA L;GOIANIA;GO;1  ;      1.039,11;     234,46;   74,766;   0,7301;  219,030;      0;      1;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495701006277770 ;          0,00;
GYN;CAM411291-1; N;13/06/2026;18/06/2026;   804256;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;ELETROTURBO ELETRICA E TURBINA;GOIANIA;GO;5  ;      1.997,47;     107,11;    2,404;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495671006277740 ;          0,00;
GYN;CAM411292-0; N;13/06/2026;18/06/2026;   803860*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;FORTBRAS AUTOPECAS S.A.;GOIANIA;GO;5  ;     75.018,17;   2.817,29; 1338,824;   8,9532; 2685,960;      0;     13;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495711006277786 ;          0,00;
GYN;CAM411293-8; N;13/06/2026;18/06/2026;   803845*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;PACAEMBU AUTOPECAS LTDA;GOIANIA;GO;5  ;     11.324,16;     271,03;   66,188;   0,7688;  230,640;      0;      4;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495691006277761 ;          0,00;
GYN;CAM411294-6; N;13/06/2026;18/06/2026;   804102;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;REAL MOTO PECAS LTDA;GOIANIA;GO;6  ;     36.038,70;     541,80;  125,955;   1,4602;  438,060;      0;      2;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495741006277818 ;          0,00;
GYN;CAM411295-4; N;13/06/2026;18/06/2026;   804061;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;SK AUTOMOTIVE S/A - DISTRIBUID;GOIANIA;GO;5  ;      2.817,23;     109,14;   20,970;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;13/06/26;;;35260607655407000520570030004495761006277839 ;          0,00;
GYN;CAM411317-9; N;13/06/2026;23/06/2026;    98483;            ;MUMDE;DRA CHERIE COMERCIO E CIA LTDA;AE FRANCO ALVES LTDA;B.;GM STILUS E MODA LTDA;CERES;GO;CJT;      2.253,05;      73,27;   12,000;   0,0461;   12,000;      0;      1;  ;;        ;;;35260607655407000520570030004495951006278725 ;          0,00;
GYN;CAM411321-7; N;15/06/2026;19/06/2026;      681;            ;     ;UFI FILTERS DO BRASIL IND E CO;UFI FILTERS DO BRASIL IND E CO;B.;NETTOS LUBRIFICANTES LTDA;APARECIDA DE GOIANIA;GO;A1 ;     18.324,04;   1.267,05;  197,696;   3,9840; 1195,200;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496001006280594 ;          0,00;
GYN;CAM411332-2; N;15/06/2026;19/06/2026;    14272;            ;     ;FIACAO FIDES LTDA;FIACAO FIDES LTDA;B2;MPL INDUSTRIA E COMERCIO DE RO;APARECIDA DE GOIANIA;GO;A2 ;     22.073,61;     828,75;  487,790;   1,9848;  595,440;      0;     29;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496101006282046 ;          0,00;
GYN;CAM411336-5; N;15/06/2026;19/06/2026;    43026;            ;     ;DISTRIBUIDORA DE MOVEIS IPANEM;DISTRIBUIDORA DE MOVEIS IPANEM;B.;EDNA DUQUES;GOIANIA;GO;5  ;      6.834,54;     374,76;   51,590;   1,1262;  337,860;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496141006282487 ;          0,00;
GYN;CAM411354-3; N;15/06/2026;19/06/2026;   215813;218731      ;     ;DELTA PLUS BRASIL INDUSTRIA E;DELTA PLUS BRASIL INDUSTRIA E;A.;ATLAS PARAFUSOS LTDA - ME;GOIANIA;GO;1  ;      1.085,49;   1.591,20;    6,000;   5,1125; 1533,750;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496741006285182 ;          0,00;
GYN;CAM411359-4; N;15/06/2026;19/06/2026;   804507;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;SK AUTOMOTIVE S/A - DISTRIBUID;GOIANIA;GO;5  ;      2.817,23;     109,14;   20,970;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496481006284445 ;          0,00;
GYN;CAM411360-8; N;15/06/2026;19/06/2026;   804512;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;AUTO NORTE DISTRIBUIDORA DE PE;GOIANIA;GO;6  ;      3.040,07;     109,69;    3,122;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496491006284450 ;          0,00;
GYN;CAM411361-6; N;15/06/2026;19/06/2026;   804575;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;ODAPEL-DISTRIBUIDORA DE AUTO P;GOIANIA;GO;5  ;     23.717,37;     386,54;  314,392;   0,7301;  314,392;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496641006284600 ;          0,00;
GYN;CAM411362-4; N;15/06/2026;19/06/2026;   804375;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COBRA ROLAMENTOS E AUTOPECAS L;GOIANIA;GO;1  ;      3.306,66;     460,85;  100,328;   1,4602;  438,060;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496651006284616 ;          0,00;
GYN;CAM411363-2; N;15/06/2026;19/06/2026;   804380*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COMDIP COMERCIAL DISTRIBUIDORA;GOIANIA;GO;6  ;     35.962,65;     596,39;  236,062;   1,6524;  495,720;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496661006284621 ;          0,00;
GYN;CAM411365-9; N;15/06/2026;19/06/2026;   804349*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;BILHAR E CIA LTDA;GOIANIA;GO;6  ;    118.829,88;   2.073,10;  977,639;   6,0328; 1809,840;      0;      9;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496511006284475 ;          0,00;
GYN;CAM411366-7; N;15/06/2026;19/06/2026;   804884;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;POLIPECAS DISTRIB AUTOMOTIVA L;GOIANIA;GO;1  ;      1.143,14;     105,00;    7,820;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496671006284637 ;          0,00;
GYN;CAM411368-3; N;15/06/2026;19/06/2026;   804493*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;DINAMAR - PECAS E SERVICOS MAR;GOIANIA;GO;1  ;     16.193,38;   2.357,37;  122,478;   7,8774; 2363,220;      0;     13;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496561006284528 ;          0,00;
GYN;CAM411370-5; N;15/06/2026;19/06/2026;   804489*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COMANDO AUTO PECAS LTDA;GOIANIA;GO;6  ;     34.357,15;     748,84;  513,160;   2,1902;  657,060;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496721006284688 ;          0,00;
GYN;CAM411371-3; N;15/06/2026;19/06/2026;   804903;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;EMBREPAR DO BRASIL EIRELI;GOIANIA;GO;3  ;      1.322,84;     128,43;   25,999;   0,3844;  115,320;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496281006284248 ;          0,00;
GYN;CAM411372-1; N;15/06/2026;19/06/2026;   804874*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;HIDRACOM COMPONENTES;GOIANIA;GO;5  ;      7.389,05;     143,43;   41,616;   0,3844;  115,320;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496271006284232 ;          0,00;
GYN;CAM411373-0; N;15/06/2026;19/06/2026;   804381*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;FORTBRAS AUTOPECAS S.A.;GOIANIA;GO;5  ;     52.518,41;   2.761,65; 1390,421;   8,9532; 2685,960;      0;     13;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496301006284262 ;          0,00;
GYN;CAM411374-8; N;15/06/2026;19/06/2026;   804764*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;PPL DISTRIBUIDORA DE PCS LTDA;GOIANIA;GO;1  ;     11.394,40;     312,95;  131,606;   0,9223;  276,690;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496321006284283 ;          0,00;
GYN;CAM411375-6; N;15/06/2026;19/06/2026;   804372*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;ELETROTURBO ELETRICA E TURBINA;GOIANIA;GO;5  ;     41.375,78;     859,77;  149,502;   2,4986;  749,580;      0;     13;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496291006284253 ;          0,00;
GYN;CAM411376-4; N;15/06/2026;19/06/2026;   804351*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;AGUILERA AUTOPECAS DE GOIAS LT;GOIANIA;GO;3  ;    106.675,76;   3.971,52; 1124,293;  12,8345; 3850,350;      0;     22;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496331006284299 ;          0,00;
GYN;CAM411377-2; N;15/06/2026;19/06/2026;   804506*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COMPANHIA BRASILEIRA DE DISTRI;GOIANIA;GO;3  ;     27.387,04;     699,52;  248,169;   2,0755;  622,650;      0;      8;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496351006284315 ;          0,00;
GYN;CAM411421-3; N;15/06/2026;19/06/2026;   230701;191467      ;     ;ALLTAPE IND E COM DE FITAS ADE;ALLTAPE IND E COM DE FITAS ADE;B.;BOMLIXO INDUSTRIA E COMERCIO L;GOIANIA;GO;6  ;      4.782,53;     337,89;  268,850;   0,8683;  268,850;      0;     19;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497101006289925 ;          0,00;
GYN;CAM411422-1; N;15/06/2026;19/06/2026;   230665;199021      ;     ;ALLTAPE IND E COM DE FITAS ADE;ALLTAPE IND E COM DE FITAS ADE;B.;PONTO DAS EMBALAGENS EIRELI - ;GOIANIA;GO;1  ;      5.267,16;     341,74;  252,400;   0,9020;  270,600;      0;     20;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497111006289930 ;          0,00;
GYN;CAM411426-4; N;15/06/2026;19/06/2026;    19326;            ;     ;AZUD BRASIL LTDA;AZUD BRASIL LTDA;B.;SAFRA AGRICOLA E PECUARIA EIRE;GOIANIA;GO;1  ;      6.510,62;     558,35;  198,000;   1,3200;  396,000;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497051006289879 ;          0,00;
GYN;CAM411435-3; N;15/06/2026;19/06/2026;    20951;16679       ;     ;AQUASONUS MEDICAL COMPANY LTDA;AQUASONUS MEDICAL COMPANY LTDA;C.;PARANAIBA EQUIP.MEDICOS;GOIANIA;GO;1  ;      5.067,74;     321,70;   25,700;   0,7200;  216,000;      0;      6;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496981006289805 ;          0,00;
GYN;CAM411441-8; N;15/06/2026;19/06/2026;   374816;            ;     ;PLASTCOR DO BRASIL LTDA - SP;PLASTCOR DO BRASIL LTDA - SP;B.;DISTRIBUIDORA SUDOESTE EIRELI;GOIANIA;GO;6  ;      4.612,31;     155,23;   96,000;   0,2730;   96,000;      0;     24;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496951006289773 ;          0,00;
GYN;CAM411451-5; N;15/06/2026;19/06/2026;  3008866;            ;     ;DINIZ COM ATAC DE PRODUTOS ALI;DINIZ COM ATAC DE PRODUTOS ALI;C.;MARICOTA PD BOLOS E DOCES LTDA;GOIANIA;GO;7  ;      8.291,55;     483,75;  128,435;   0,6447;  193,410;      0;      7;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497201006290423 ;          0,00;
GYN;CAM411454-0; N;15/06/2026;19/06/2026;   126155*;8006486385  ;     ;FRASLE MOBILITY SOROCABA LTDA;FRASLE MOBILITY SOROCABA LTDA;B1;REDE ANCORA GO, IMPORTADORA, E;GOIANIA;GO;6  ;     13.532,14;     206,87;  215,766;   0,0756;  215,766;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497351006291082 ;          0,00;
GYN;CAM411455-8; N;15/06/2026;19/06/2026;   126196;8006486452  ;     ;FRASLE MOBILITY SOROCABA LTDA;FRASLE MOBILITY SOROCABA LTDA;B1;COMPANHIA BRASILEIRA DE DISTRI;GOIANIA;GO;3  ;     21.678,76;     652,05;  312,296;   0,3240;  312,296;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497361006291098 ;          0,00;
GYN;CAM411456-6; N;15/06/2026;19/06/2026;   126193;8006487463  ;     ;FRASLE MOBILITY SOROCABA LTDA;FRASLE MOBILITY SOROCABA LTDA;B1;PPL DISTRIBUIDORA DE PCS LTDA;GOIANIA;GO;1  ;     13.336,34;     254,67;  275,681;   0,3240;  275,681;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497371006291109 ;          0,00;
GYN;CAM411461-2; N;15/06/2026;23/06/2026;   123769;            ;     ;BRITISH INDUSTRIA E COMERCIO L;BRITISH INDUSTRIA E COMERCIO L;C.;H E F DIST PROD DE LIMP E EQUI;SENADOR CANEDO;GO;NWF;      9.270,55;     745,33;  104,710;   2,0646;  516,150;      0;     37;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497421006291150 ;          0,00;
GYN;CAM411485-0; N;15/06/2026;23/06/2026;  1033881*;            ;     ;NEWELL BRANDS BRASIL LTDA (SOB;NEWELL BRANDS BRASIL LTDA (SOB;A1;EMPREENDIMENTOS PAGUE MENOS S/;HIDROLANDIA;GO;HID;     22.254,37;     796,41;   88,500;   1,3033;  325,825;      0;    159;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497451006291186 ;          0,00;
GYN;CAM411494-9; N;15/06/2026;19/06/2026;  1033649;            ;     ;NEWELL BRANDS BRASIL LTDA (SOB;NEWELL BRANDS BRASIL LTDA (SOB;A1;CASTOR UTILIDADES LTDA;GOIANIA;GO;7  ;      2.212,56;      98,53;   24,500;   0,2078;   51,950;      0;      7;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497541006291274 ;          0,00;
GYN;CAM411496-5; N;15/06/2026;23/06/2026;  1033641*;            ;     ;NEWELL BRANDS BRASIL LTDA (SOB;NEWELL BRANDS BRASIL LTDA (SOB;A1;RAIA DROGASIL S/A;HIDROLANDIA;GO;HID;     13.439,29;     560,09;   50,620;   0,5377;  134,425;      0;     71;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497561006291295 ;          0,00;
GYN;SAS026891-7; N;29/05/2026;31/12/2050;   789450;            ;PPB  ;EXPRESSO RIO VERMELHO;EXPRESSO RIO VERMELHO;C3;EXPRESSO RIO VERMELHO;GOIANIA;GO;6  ;          0,01;       0,01;    1,000;   0,0100;    1,000;      0;      1;80;CTRC EMITIDO;29/05/26;;; ;          0,00;
IBI;CBA016998-6; N;07/05/2026;20/05/2026;     1494;            ;     ;FONSECA E GOMES LTDA-EPP;PRIME FABRICACAO E COM DE ARTE;B.;PRIME FABRICACAO E COM DE ARTE;IBITINGA;SP;SJR;     16.450,46;     272,20;  112,000;   0,0000;  112,000;      0;      7;83;CHEGADA NA UNIDADE INTERMEDIARIA ;25/05/26;;RAO001197-5;51260507655407000368570020000168941005855052 ;         67,07;
IBI;PMW110372-5; N;17/03/2026;26/03/2026;     1272;            ;     ;NILVA REGINA CELESTINO DE CAST;PRIME FABRICACAO E COM DE ARTE;B.;PRIME FABRICACAO E COM DE ARTE;IBITINGA;SP;SJR;      6.235,00;     179,40;   50,000;   0,0000;   50,000;      0;      5;83;CHEGADA NA UNIDADE INTERMEDIARIA ;25/05/26;;RAO001197-5;52260307655407000449570040000933951005296054 ;         44,20;
ITB;CAM411367-5; N;15/06/2026;19/06/2026;   804863;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;DIVISA PECAS E SERVICOS LTDA M;ITUMBIARA;GO;ITB;      4.314,91;     114,67;    8,728;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496681006284642 ;          0,00;
ITB;CAM411369-1; N;15/06/2026;19/06/2026;   804350*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;DINATEC PECAS E SERVICOS LTDA;ITUMBIARA;GO;ITB;     45.582,42;     693,57;  320,238;   1,8833;  564,990;      0;      7;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496711006284672 ;          0,00;
ITB;CAM411486-8; N;15/06/2026;19/06/2026;  1033308;            ;     ;NEWELL BRANDS BRASIL LTDA (SOB;NEWELL BRANDS BRASIL LTDA (SOB;A1;FH UTILIDADES LTDA;ITUMBIARA;GO;ITB;      7.987,94;     349,75;  140,580;   1,1609;  290,225;      0;     43;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497461006291191 ;          0,00;
JDF;CAM411410-8; N;15/06/2026;19/06/2026;    36095;            ;     ;MARQUEZINI ARTEFATOS DE MADEIR;MARQUEZINI ARTEFATOS DE MADEIR;B.;PAMELA FERNANDA DOS SANTOS;JUIZ DE FORA;MG;BHZ;        771,90;     174,75;   54,700;   0,3467;  104,010;      0;      4;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496881006286486 ;         46,52;
JPR;BIR097479-0; N;11/06/2026;03/07/2026;    48048;            ;     ;UNNO SAUDE AMBIENTAL LTDA - ME;UNNO SAUDE AMBIENTAL LTDA - ME;B3;ALEIR BRONZATTI;CEREJEIRAS;RO;RON;      2.020,15;     237,97;   12,000;   0,0253;   12,000;      0;      2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020829221006247085 ;         66,63;
