DESTINO;CTRC/GAI/PAL;T;AUTORIZACAO;PREV DE ENTREGA;NFISCAL;PEDIDO;SUBC;REMETENTE;PAGADOR;ABC;DESTINATARIO;CIDADE;UF;SET;MERCADORIA;FRETE;KgREA;M3;PESO CALCULO;SSWBAR;QVOL;COD ULT OCOR;DESC ULT OCOR;DATA ULT OCOR;PREVCHEGADA;MANIFESTO/END;CHAVE DACTE;COMISSAO RECEPCAO;TROCA GELO
CBA;CAM411385-3; N;15/06/2026;22/06/2026;   804871;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;EMBREPAR DO BRASIL LTDA;CUIABA;MT;001;      8.008,08;     168,84;    2,025;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496341006284300 ;          0,00;
CBA;CAM411386-1; N;15/06/2026;22/06/2026;   804873;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;ODAPEL-DISTRIBUIDORA DE AUTO P;CUIABA;MT;004;     11.652,52;     362,77;   91,103;   0,7301;  219,030;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496391006284357 ;          0,00;
CBA;CAM411388-8; N;15/06/2026;22/06/2026;   804760*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;JS DISTRIBUIDORA DE PECAS SA;CUIABA;MT;004;     17.285,77;   1.263,58;  206,180;   2,7677;  830,310;      0;      6;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496411006284371 ;          0,00;
CBA;CAM411389-6; N;15/06/2026;22/06/2026;   804759*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;SK AUTOMOTIVE DIST DE AUTOPECA;CUIABA;MT;002;     18.566,40;   1.011,12;  230,650;   2,1902;  657,060;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496431006284392 ;          0,00;
CBA;CAM411390-0; N;15/06/2026;22/06/2026;   804491;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;DITRAC DISTRIBUIDORA DE PECAS;VARZEA GRANDE;MT;VG2;      3.845,50;     343,46;   99,650;   0,7301;  219,030;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496381006284341 ;          0,00;
CBA;CAM411391-8; N;15/06/2026;22/06/2026;   804485*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;BILHAR E CIA LTDA;VARZEA GRANDE;MT;VG1;     34.930,62;   3.306,23;  169,584;   7,4930; 2247,900;      0;     11;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496451006284419 ;          0,00;
CBA;CAM411392-6; N;15/06/2026;22/06/2026;   804695;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;ATACADO UNIAO LTDA;CUIABA;MT;004;      1.204,90;     152,01;    2,060;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496311006284278 ;          0,00;
CBA;CAM411393-4; N;15/06/2026;22/06/2026;   804510*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;AGUILERA COMERCIAL DISTRIBUIDO;CUIABA;MT;004;    242.964,96;   6.372,34; 2205,213;  13,7568; 4127,040;      0;     24;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496471006284430 ;          0,00;
CBA;CAM411394-2; N;15/06/2026;22/06/2026;   804488*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;REDE ANCORA MT IMP EXP DIST A ;VARZEA GRANDE;MT;VG1;     21.564,90;   1.791,62;  416,387;   4,0348; 1210,440;      0;      7;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496501006284460 ;          0,00;
CBA;CAM411395-1; N;15/06/2026;22/06/2026;   804762;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COMPANHIA BRASILEIRA DE DISTRI;CUIABA;MT;004;     14.041,53;     368,69;  169,400;   0,7301;  219,030;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496421006284387 ;          0,00;
CBA;CAM411409-4; N;15/06/2026;22/06/2026;     2069;            ;     ;IVANI APARECIDA DE OLIVEIRA TR;ADRIANA SOARES DE MOURA;..;ADRIANA SOARES DE MOURA;CUIABA;MT;780;        928,00;     453,11;   98,000;   0,6000;  180,000;      0;     10;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496871006286470 ;          0,00;
CBA;CAM411430-2; N;15/06/2026;22/06/2026;  1034134;            ;     ;HEXIS CIENTIFICA LTDA;HEXIS CIENTIFICA LTDA;B3;EF LABOR DE ANALISES DE AGUAS;CUIABA;MT;003;        886,20;      90,68;    0,310;   0,0065;    1,950;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497011006289837 ;          0,00;
CBA;CAM411442-6; N;15/06/2026;22/06/2026;   374821;            ;     ;PLASTCOR DO BRASIL LTDA - SP;PLASTCOR DO BRASIL LTDA - SP;B.;COMERCIAL MAKFER DISTRIBUIDORA;CUIABA;MT;002;        991,25;     143,57;   32,400;   0,1771;   44,275;      0;      9;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496961006289789 ;          0,00;
CBA;CAM411450-7; N;15/06/2026;22/06/2026;      469;019226      ;     ;ABH TECH SERVICOS TECNICOS E T;CONTROL-ANALISES DE AGUA E EFL;C.;CONTROL-ANALISES DE AGUA E EFL;CUIABA;MT;003;      3.000,00;     242,31;    1,210;   0,0120;    3,600;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496931006289752 ;          0,00;
CBA;CAM411472-8; N;15/06/2026;22/06/2026;     2578;            ;     ;CENTRALVET COMERCIAL DISTRIBUI;CENTRALVET COMERCIAL DISTRIBUI;C3;PROCRIA COMERCIO DE PROD AGRP;VARZEA GRANDE;MT;VG1;     15.428,10;   1.815,65; 1613,400;   4,8480; 1613,400;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497231006290840 ;          0,00;
CBA;CAM411481-7; N;15/06/2026;22/06/2026;   533864;            ;     ;ESAB INDUSTRIA E COMERCIO LTDA;ESAB INDUSTRIA E COMERCIO LTDA;B2;DIASA COMERCIO E DISTRIBUICAO;VARZEA GRANDE;MT;VG1;      4.249,77;     135,81;  107,940;   0,3598;  107,940;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497321006290939 ;          0,00;
CBA;CAM411492-2; N;15/06/2026;22/06/2026;  1033871;            ;     ;NEWELL BRANDS BRASIL LTDA (SOB;NEWELL BRANDS BRASIL LTDA (SOB;A1;PROFARMA DISTRIBUIDORA DE PROD;CUIABA;MT;004;      1.686,79;      94,48;    7,460;   0,1027;   25,675;      0;     14;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497521006291253 ;          0,00;
CGD;CAM411338-1; N;15/06/2026;25/06/2026;   709826;660828      ;     ;IND E COM DE COLCHOES CASTOR L;IND E COM DE COLCHOES CASTOR L;B.;VITOR CESAR RAMOS;ALCINOPOLIS;MS;795;      1.198,90;     601,66;   76,800;   1,1675;  350,250;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496161006282503 ;         75,91;
CGD;CAM411344-6; N;15/06/2026;19/06/2026;   388952;PPG0312176  ;     ;PPG IND DO BRASIL TINTAS E VER;PPG IND DO BRASIL TINTAS E VER;A1;DSO DISTRIBUICAO E COMERCIO DE;CAMPO GRANDE;MS;004;     34.124,59;   3.594,48; 3802,506;  12,6750; 3802,506;      0;      5;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496221006282942 ;        668,57;
CGD;CAM411352-7; N;15/06/2026;19/06/2026;   215784;220475      ;     ;DELTA PLUS BRASIL INDUSTRIA E;DELTA PLUS BRASIL INDUSTRIA E;A.;ARSENIO CARLOS DA CONCEICAO NO;CAMPO GRANDE;MS;10B;      2.851,64;     141,51;   20,000;   0,3220;   96,600;      0;      4;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496751006285198 ;         26,32;
CGD;CAM411396-9; N;15/06/2026;19/06/2026;   804376;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COBRA ROLAMENTOS E AUTOPECAS L;CAMPO GRANDE;MS;007;      3.153,58;     564,52;  110,900;   1,4602;  438,060;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496571006284533 ;        105,00;
CGD;CAM411397-7; N;15/06/2026;19/06/2026;   804373;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;DHC PECAS E SERVICOS AUTOMOTIV;CAMPO GRANDE;MS;010;      1.572,90;     156,70;   47,420;   0,3844;  115,320;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496441006284403 ;         29,15;
CGD;CAM411398-5; N;15/06/2026;19/06/2026;   804693;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;PILOTO DIRECOES HIDRAULICAS LT;CAMPO GRANDE;MS;010;      1.068,76;     128,55;    2,665;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496611006284579 ;         23,91;
CGD;CAM411399-3; N;15/06/2026;19/06/2026;   804694;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;BILHAR E CIA LTDA;CAMPO GRANDE;MS;010;      5.845,80;     140,37;   14,912;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496531006284496 ;         26,11;
CGD;CAM411400-1; N;15/06/2026;19/06/2026;   804655;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;ODAPEL DISTRIBUIDORA DE AUTOPE;CAMPO GRANDE;MS;07B;     16.729,65;     365,74;  254,700;   0,7301;  254,700;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496541006284507 ;         68,03;
